id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
291294,2001,Antioquia,SAN CARLOS,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291295,2001,Meta,RESTREPO,Asalto,Grupo Armado No Identificado,No aplica,4
291296,2001,Norte de Santander,C?CUTA,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291297,2001,Antioquia,MEDELL?N,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
291298,2001,Tolima,CHAPARRAL,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
291299,2001,Tolima,IBAGU�,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291300,2001,Cesar,AGUACHICA,Ruta,Guerrilla,ELN,4
291301,2001,Antioquia,SONS?N,Incursi�n,Guerrilla,FARC,4
291302,2001,Bolívar,R?O VIEJO,Desconocida,Grupo Armado No Dirimido,,4
291303,2001,Antioquia,RETIRO,Ruta,Grupo Paramilitar,No Identificado,5
291304,2001,Guaviare,EL RETORNO,Asalto,Guerrilla,FARC,4
291305,2001,Valle del Cauca,DAGUA,Retenci�n/Ejecuci�n,Guerrilla,No Identificada,5
291306,2001,Antioquia,BELLO,Retenci�n/Ejecuci�n,Grupo Armado No Identificado,No aplica,4
291307,2001,La Guajira,RIOHACHA,Asalto,Grupo Armado No Identificado,No aplica,5
291308,2001,Antioquia,PEQUE,Incursi�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,10
291309,2001,Cesar,VALLEDUPAR,Interceptaci�n,Grupo Paramilitar,No Identificado,5
291310,2001,Antioquia,REMEDIOS,Incursi�n,Agente del Estado - Grupo Paramilitar,,18
291313,2001,Antioquia,APARTAD?,Desconocida,Grupo Paramilitar,No Identificado,4
291314,2001,Antioquia,BELLO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291315,2001,Nariño,BARBACOAS,Incursi�n,Guerrilla,FARC,8
291316,2001,Meta,GRANADA,Ret�n,Grupo Paramilitar,No Identificado,5
