IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,COD_DANE_MUN,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE1,DESCRIPCION_PRESUNTO_RESPONSABLE1,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
359652,CR009040,0,0,0,54344,CATATUMBO,NORTE DE SANTANDER,HACAR?,Coerci¢n,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,Matrimonio o Cohabitaci¢n Forzada,,1,Publicado
359653,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Interceptaci¢n,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,5,Publicado
359658,,0,0,0,68000,,SANTANDER,SIN INFORMACION,Asalto,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359659,CR009042,0,0,0,68000,,SANTANDER,SIN INFORMACION,Desconocida,Material Incendiario,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,1,,,1,Publicado
359660,,0,0,0,68689,MAGDALENA MEDIO,SANTANDER,SAN VICENTE DE CHUCUR?,Coerci¢n,ND,Grupo Paramilitar,No Identificado,0,1,0,0,1,0,0,0,0,,,1,Publicado
359661,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Asalto,ND,Grupo Paramilitar,No Identificado,0,1,0,0,0,0,0,0,0,Discriminaci¢n por GÇnero,,1,Publicado
359662,,0,0,0,70713,MONTES DE MARIA,SUCRE,SAN ONOFRE,Coerci¢n,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,,,1,Publicado
359663,,0,0,0,70713,MONTES DE MARIA,SUCRE,SAN ONOFRE,Retenci¢n,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,Trabajo DomÇstico Forzado,,2,Publicado
359665,CR009043,0,0,0,54810,CATATUMBO,NORTE DE SANTANDER,TIB?,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,Discriminaci¢n por GÇnero,,1,Publicado
359666,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Coerci¢n,ND,Grupo Paramilitar,No Identificado,0,1,0,0,0,0,0,0,0,Matrimonio o Cohabitaci¢n Forzada,,1,Publicado
359667,CR009056,0,0,0,50000,,META,SIN INFORMACION,Asalto,Arma de Fuego,Grupo Posdesmovilizaci¢n,Otro,0,1,0,0,1,0,0,0,0,Violencia F°sica,,2,Publicado
359669,,0,0,0,50000,,META,SIN INFORMACION,Asalto,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,1,0,0,0,0,Trabajo DomÇstico Forzado,,1,Publicado
359670,,0,0,0,50711,ARIARI GUAYABERO,META,VISTAHERMOSA,Citaci¢n,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,,,1,Publicado
359671,CR004864,0,0,0,50000,,META,SIN INFORMACION,Desconocida,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
359673,,0,0,0,11001,AREA METROPOLITANA DE BOGOTA,"BOGOT?, D.C.","BOGOT?, D.C.",Asalto,Arma de Fuego,Grupo Armado No Identificado,No aplica,0,1,0,0,1,0,0,0,0,,,1,Publicado
359675,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Chantaje,ND,Grupo Armado No Identificado,No aplica,0,1,0,0,0,0,0,0,0,,,1,Publicado
359676,,0,0,0,19110,NORTE DEL CAUCA,CAUCA,BUENOS AIRES,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359677,,0,0,0,68001,PROVINCIA DE SOTO,SANTANDER,BUCARAMANGA,Desconocida,ND,Agente del Estado,Polic°a Nacional,0,0,0,0,0,0,0,0,0,,,1,Publicado
