id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
352519,2010,Cauca,POPAY?N,Guerrilla,No Identificada,1
352520,2010,Valle del Cauca,RESTREPO,Guerrilla,FARC,1
352522,2010,Guaviare,SAN JOS� DEL Guaviare,Desconocido,No aplica,1
352523,2010,Nariño,SANTACRUZ,Guerrilla,No Identificada,1
352524,2010,Caquetá,EL PAUJ?L,Guerrilla,No Identificada,1
352525,2010,Valle del Cauca,TULU?,Guerrilla,FARC,1
352526,2010,Arauca,SARAVENA,Guerrilla,FARC,1
352527,2010,Nariño,SAN ANDR�S DE TUMACO,Grupo Posdesmovilización,Los Rastrojos,2
352529,2010,Huila,ISNOS,Guerrilla,FARC,2
352531,2010,Meta,VISTAHERMOSA,Guerrilla,No Identificada,1
352532,2010,Nariño,POLICARPA,Guerrilla,No Identificada,1
352533,2010,Antioquia,ANOR?,Desconocido,No aplica,1
352536,2010,Nariño,CUMBITARA,Guerrilla,No Identificada,1
352537,2010,Cauca,CAJIB?O,Guerrilla,FARC,1
352538,2010,Vichada,CUMARIBO,Desconocido,No aplica,1
352539,2010,Valle del Cauca,CALI,Grupo Posdesmovilización,No Identificado,1
352540,2010,Guaviare,SAN JOS� DEL Guaviare,Guerrilla,No Identificada,2
352542,2010,Arauca,TAME,Guerrilla,FARC,1
352543,2010,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,1
352544,2010,Huila,SAN AGUST?N,Guerrilla,FARC,1
352545,2010,Arauca,TAME,Guerrilla,No Identificada,1
352546,2010,Arauca,TAME,Desconocido,No aplica,1
352547,2010,Putumayo,VALLE DEL GUAMUEZ,Guerrilla,No Identificada,1
352548,2010,Arauca,TAME,Guerrilla,No Identificada,1
352549,2010,Caquetá,PUERTO RICO,Guerrilla,No Identificada,1
352550,2010,Nariño,TANGUA,Guerrilla,No Identificada,2
352552,2010,Antioquia,OLAYA,Desconocido,No aplica,1
352553,2010,Cesar,VALLEDUPAR,Guerrilla,FARC,1
352554,2010,Cauca,PIENDAM?,Guerrilla,No Identificada,1
352555,2010,Cauca,PIENDAM?,Guerrilla,No Identificada,1
352556,2010,Cesar,SAN ALBERTO,Guerrilla,FARC,1
352557,2010,Antioquia,BRICE�O,Desconocido,No aplica,1
352558,2010,Cauca,EL TAMBO,Guerrilla,No Identificada,1
352560,2010,Nariño,RICAURTE,Guerrilla,ELN,1
352561,2010,Nariño,SAN PABLO,Desconocido,No aplica,1
352562,2011,Nariño,POLICARPA,Guerrilla,No Identificada,1
352563,2011,Nariño,POLICARPA,Guerrilla,No Identificada,1
352565,2011,Cauca,PIAMONTE,Guerrilla,No Identificada,1
352566,2011,Arauca,TAME,Guerrilla,ELN,1
352567,2011,Putumayo,SAN MIGUEL,Guerrilla,No Identificada,1
352568,2011,Arauca,TAME,Guerrilla,FARC,1
352569,2010,Nariño,FRANCISCO PIZARRO,Grupo Posdesmovilización,Los Rastrojos,1
352570,2011,Guaviare,EL RETORNO,Desconocido,No aplica,1
352571,2011,Huila,ALGECIRAS,Desconocido,No aplica,1
352572,2011,Antioquia,CHIGOROD?,Guerrilla,No Identificada,1
352573,2011,Putumayo,VILLAGARZ?N,Desconocido,No aplica,1
352574,2011,Cauca,PAT?A,Guerrilla,ELN,1
352575,2011,Huila,ALGECIRAS,Guerrilla,FARC,1
352576,2011,Norte de Santander,TEORAMA,Guerrilla,No Identificada,1
352577,2011,Arauca,ARAUQUITA,Guerrilla,FARC/ELN,1
352578,2011,Chocó,C�RTEGUI,Guerrilla,ELN,1
352579,2011,Nariño,PASTO,Guerrilla,FARC,1
352580,2011,Tolima,CHAPARRAL,Guerrilla,No Identificada,1
352581,2011,Antioquia,MEDELL?N,Guerrilla,No Identificada,1
352584,2011,Norte de Santander,C?CUTA,Guerrilla,FARC,1
352585,2011,Cauca,POPAY?N,Guerrilla,FARC,1
352586,2011,Antioquia,MEDELL?N,Desconocido,No aplica,1
352587,2011,Guaviare,MIRAFLORES,Guerrilla,FARC,1
352589,2011,Nariño,POLICARPA,Desconocido,No aplica,1
352590,2011,Arauca,FORTUL,Guerrilla,ELN,1
352591,2011,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,1
352592,2011,Antioquia,MEDELL?N,Desconocido,No aplica,1
352593,2011,Antioquia,NECOCL?,Desconocido,No aplica,1
352594,2011,Norte de Santander,SAN CALIXTO,Desconocido,No aplica,1
352595,2011,Norte de Santander,TEORAMA,Guerrilla,No Identificada,1
352596,2011,Cauca,PAT?A,Guerrilla,No Identificada,1
352597,2011,Meta,VISTAHERMOSA,Guerrilla,No Identificada,1
352598,2011,Guaviare,CALAMAR,Grupo Posdesmovilización,No Identificado,1
352599,2011,Nariño,SAMANIEGO,Guerrilla,No Identificada,1
352600,2011,Cauca,SU?REZ,Guerrilla,No Identificada,1
352601,2011,Caquetá,PUERTO RICO,Guerrilla,No Identificada,1
352602,2011,Nariño,SANTA B?RBARA,Guerrilla,FARC,1
352604,2011,Cauca,TOTOR?,Guerrilla,FARC,1
352606,2011,Cauca,POPAY?N,Guerrilla,No Identificada,1
352607,2011,Cesar,PAILITAS,Guerrilla,ELN,1
352608,2011,Putumayo,PUERTO AS?S,Guerrilla,FARC,1
352610,2011,Antioquia,ANOR?,Desconocido,No aplica,3
352613,2011,Guaviare,SAN JOS� DEL Guaviare,Desconocido,No aplica,1
352614,2011,Nariño,EL TABL?N DE G?MEZ,Desconocido,No aplica,1
352615,2011,Putumayo,PUERTO LEGU?ZAMO,Guerrilla,FARC,1
352616,2011,Nariño,GUACHUCAL,Guerrilla,ELN,1
352617,2011,Meta,VILLAVICENCIO,Guerrilla,FARC,1
352618,2011,Nariño,LA LLANADA,Grupo Posdesmovilización,No Identificado,1
352619,2011,Nariño,SAMANIEGO,Guerrilla,No Identificada,1
352620,2011,Córdoba,MONTER?A,Desconocido,No aplica,1
352621,2011,Nariño,SANTA B?RBARA,Desconocido,No aplica,1
352622,2011,Meta,MESETAS,Guerrilla,FARC,1
352623,2011,Cundinamarca,F?MEQUE,Guerrilla,FARC,1
352624,2011,Valle del Cauca,BUENAVENTURA,Desconocido,No aplica,1
352625,2011,Norte de Santander,EL CARMEN,Guerrilla,No Identificada,1
352626,2011,Valle del Cauca,CALI,Grupo Posdesmovilización,No Identificado,2
352629,2011,Tolima,ESPINAL,Guerrilla,FARC,1
352630,2011,Meta,VILLAVICENCIO,Guerrilla,FARC,1
352631,2011,Caquetá,SAN JOS� DEL FRAGUA,Guerrilla,No Identificada,1
352632,2011,Nariño,POLICARPA,Desconocido,No aplica,1
352633,2011,Norte de Santander,C?CUTA,Grupo Posdesmovilización,No Identificado,2
352636,2011,Putumayo,MOCOA,Guerrilla,No Identificada,1
352637,2011,Tolima,CASABIANCA,Desconocido,No aplica,1
352638,2011,Tolima,COYAIMA,Desconocido,No aplica,1
352639,2011,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,FARC,1
352640,2011,Chocó,LLOR?,Guerrilla,No Identificada,1
352641,2011,Cauca,GUACHEN�,Desconocido,No aplica,1
352642,2011,Cundinamarca,BELTR?N,Guerrilla,FARC,1
352643,2011,Meta,MESETAS,Guerrilla,No Identificada,1
352646,2011,Huila,PITALITO,Guerrilla,FARC,1
352647,2011,Norte de Santander,EL TARRA,Guerrilla,No Identificada,1
352650,2011,Nariño,RICAURTE,Guerrilla,No Identificada,1
352651,2011,Chocó,MEDIO ATRATO,Desconocido,No aplica,1
352652,2011,Chocó,MEDIO ATRATO,Guerrilla,No Identificada,1
352653,2011,Antioquia,MEDELL?N,Guerrilla,FARC,1
352654,2011,Putumayo,MOCOA,Guerrilla,FARC,1
352655,2011,Valle del Cauca,ROLDANILLO,Guerrilla,FARC,1
352657,2011,Arauca,ARAUQUITA,Desconocido,No aplica,1
352658,2011,Caquetá,FLORENCIA,Desconocido,No aplica,1
352659,2011,Putumayo,VALLE DEL GUAMUEZ,Guerrilla,FARC,1
352661,2011,Huila,PALERMO,Guerrilla,FARC,1
352662,2011,Huila,PALERMO,Desconocido,No aplica,1
352663,2011,Antioquia,SAN LUIS,Guerrilla,FARC,1
352664,2011,Bolívar,SANTA ROSA,Guerrilla,No Identificada,1
352665,2011,Sucre,GUARANDA,Desconocido,No aplica,1
352666,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352667,2011,Caquetá,FLORENCIA,Guerrilla,FARC,2
352669,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352670,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352671,2011,Chocó,MEDIO ATRATO,Guerrilla,No Identificada,1
352672,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352673,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352674,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352675,2011,Chocó,QUIBD?,Guerrilla,No Identificada,1
352676,2011,Nariño,IPIALES,Guerrilla,FARC,1
352677,2011,Valle del Cauca,PRADERA,Guerrilla,FARC,1
352678,2011,Chocó,MEDIO ATRATO,Desconocido,No aplica,1
352679,2011,Nariño,SAN ANDR�S DE TUMACO,Guerrilla,FARC,1
352680,2011,Nariño,ALB?N,Guerrilla,No Identificada,1
352681,2011,Nariño,ALB?N,Guerrilla,FARC,1
352682,2011,Huila,NEIVA,Guerrilla,FARC,1
352683,2011,Chocó,LLOR?,Guerrilla,FARC,1
352684,2011,Huila,LA PLATA,Guerrilla,FARC,1
352687,2011,Antioquia,CAMPAMENTO,Guerrilla,No Identificada,9
352697,2011,Nariño,IPIALES,Desconocido,No aplica,1
352698,2011,Antioquia,BELLO,Guerrilla,FARC,1
352700,2011,La Guajira,MAICAO,Desconocido,No aplica,1
352701,2011,Nariño,SANTA B?RBARA,Desconocido,No aplica,1
352703,2011,Córdoba,MONTEL?BANO,Guerrilla,FARC,1
352704,2011,Antioquia,TARAZ?,Guerrilla,No Identificada,1
352705,2011,Cauca,CALOTO,Guerrilla,FARC,1
352706,2011,Antioquia,ENVIGADO,Crimen Organizado,No Identificado,1
352707,2011,Nariño,LOS ANDES,Grupo Posdesmovilización,No Identificado,1
352708,2011,Meta,VISTAHERMOSA,Guerrilla,FARC,1
352709,2011,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,FARC,4
352713,2011,Valle del Cauca,PRADERA,Guerrilla,FARC,1
352715,2011,Arauca,SARAVENA,Guerrilla,ELN,1
352716,2011,Caquetá,PUERTO RICO,Guerrilla,No Identificada,1
