ano,dept,municipio,modalidad,presuntoRes,desPresuntoRes,num
0,Tolima,CUNDAY,Retenci�n,Guerrilla,No Identificada,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,Bolívar,EL PE�?N,Desconocida,Guerrilla,No Identificada,1
0,Valle del Cauca,BUENAVENTURA,Desconocida,Grupo Posdesmovilizaci�n,No Identificado,1
0,Chocó,MEDIO BAUD?,Desconocida,Grupo Posdesmovilizaci�n,No Identificado,1
0,Bolívar,TIQUISIO,Desconocida,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,1
0,Santander,RIONEGRO,Coerci�n,Grupo Paramilitar,No Identificado,1
0,Arauca,TAME,Retenci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Chocó,RIOSUCIO,Desconocida,Guerrilla,FARC,1
0,Cundinamarca,YACOP?,Desconocida,Guerrilla,FARC,2
0,Meta,VILLAVICENCIO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,2
0,Tolima,FRESNO,Coerci�n,Grupo Paramilitar,No Identificado,1
0,Antioquia,ZARAGOZA,Desconocida,Grupo Paramilitar,No Identificado,1
0,Antioquia,GRANADA,Asalto,Grupo Armado No Identificado,No aplica,1
0,Antioquia,GRANADA,Retenci�n/Ejecuci�n,Guerrilla,ELN,1
0,Antioquia,SANTA B?RBARA,Asalto,Agente del Estado - Grupo Paramilitar,,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,FARC,1
0,Antioquia,NECOCL?,Desconocida,Grupo Paramilitar,No Identificado,2
0,SIN INFORMACION,SIN INFORMACION,Asalto,Agente del Estado,Ej�rcito Nacional,1
0,Antioquia,ARBOLETES,Retenci�n,Grupo Paramilitar,No Identificado,1
0,Magdalena,SANTA MARTA,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Retenci�n,Grupo Paramilitar,No Identificado,1
0,Norte de Santander,TIB?,Retenci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Norte de Santander,TIB?,Retenci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Cesar,CHIRIGUAN?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cundinamarca,AGUA DE DIOS,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,CALI,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Cauca,CORINTO,Desconocida,Desconocido,No aplica,1
0,Antioquia,PE�OL,Desconocida,Desconocido,No aplica,1
0,Bolívar,ALTOS DEL ROSARIO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,TRUJILLO,Desconocida,Desconocido,No aplica,1
0,Nariño,POLICARPA,Desconocida,Desconocido,No aplica,1
0,Bolívar,EL CARMEN DE Bolívar,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Risaralda,PEREIRA,Desconocida,Grupo Paramilitar,No Identificado,1
0,Valle del Cauca,CALI,Desconocida,Desconocido,No aplica,1
0,Tolima,ROVIRA,Desconocida,Grupo Paramilitar,No Identificado,1
0,Antioquia,SEGOVIA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,MUTAT?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,CAREPA,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,BUGALAGRANDE,Desconocida,Desconocido,No aplica,1
0,Caquetá,SOLITA,Desconocida,Desconocido,No aplica,1
0,Nariño,PASTO,Desconocida,Desconocido,No aplica,1
0,Meta,PUERTO GAIT?N,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Córdoba,AYAPEL,Desconocida,Desconocido,No aplica,1
0,Cauca,LA SIERRA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cundinamarca,CHIPAQUE,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,Risaralda,QUINCH?A,Desconocida,Desconocido,No aplica,1
0,Caldas,RIOSUCIO,Desconocida,Desconocido,No aplica,1
0,Norte de Santander,TIB?,Desconocida,Grupo Armado No Identificado,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,Córdoba,VALENCIA,Desconocida,Desconocido,No aplica,1
0,Arauca,SARAVENA,Desconocida,Desconocido,No aplica,1
0,Antioquia,MUTAT?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,Chocó,QUIBD?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Caquetá,SOLITA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,SEGOVIA,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Arauca,SARAVENA,Desconocida,Desconocido,No aplica,1
0,Cesar,AGUST?N CODAZZI,Desconocida,Grupo Paramilitar,No Identificado,1
0,Antioquia,VALDIVIA,Desconocida,Desconocido,No aplica,1
0,Magdalena,ARACATACA,Desconocida,Desconocido,No aplica,1
0,Caquetá,SOLITA,Desconocida,Desconocido,No aplica,1
0,Arauca,ARAUQUITA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Putumayo,PUERTO GUZM?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Córdoba,MONTEL?BANO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Putumayo,VALLE DEL GUAMUEZ,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Bolívar,BARRANCO DE LOBA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Bolívar,SANTA ROSA DEL SUR,Desconocida,Desconocido,No aplica,1
0,Cauca,Santander DE QUILICHAO,Desconocida,Desconocido,No aplica,1
0,Norte de Santander,EL ZULIA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Caquetá,FLORENCIA,Desconocida,Desconocido,No aplica,1
0,Sucre,SAN BENITO ABAD,Desconocida,Desconocido,No aplica,1
0,Caquetá,CARTAGENA DEL CHAIR?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Putumayo,PUERTO AS?S,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Sucre,SAN ONOFRE,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Chocó,UNGU?A,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,Putumayo,VALLE DEL GUAMUEZ,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,FLORIDA,Desconocida,Desconocido,No aplica,1
0,Nariño,LEIVA,Desconocida,Desconocido,No aplica,1
0,Cesar,VALLEDUPAR,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Meta,LEJAN?AS,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Putumayo,MOCOA,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Meta,VILLAVICENCIO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,ABEJORRAL,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cesar,EL COPEY,Desconocida,Grupo Armado No Identificado,No aplica,1
0,Caquetá,FLORENCIA,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Santander,PUERTO WILCHES,Desconocida,Desconocido,No aplica,1
0,Cundinamarca,LA PALMA,Desconocida,Desconocido,No aplica,1
0,Putumayo,PUERTO AS?S,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,BRICE�O,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Armado No Identificado,No aplica,1
0,Antioquia,ARBOLETES,Desconocida,Desconocido,No aplica,1
0,Nariño,SAN LORENZO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Santander,EL CARMEN DE CHUCUR?,Desconocida,Grupo Paramilitar,No Identificado,1
0,Caquetá,BEL�N DE LOS ANDAQU?ES,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Antioquia,SAN ROQUE,Desconocida,Desconocido,No aplica,1
0,Meta,VILLAVICENCIO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Cauca,TIMB?O,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
1999,Magdalena,CI�NAGA,Desconocida,Grupo Armado No Identificado,No Aplica,1
2004,Antioquia,BARBOSA,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Magdalena,SANTA MARTA,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,OBANDO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Sucre,SAN ONOFRE,Desconocida,Desconocido,No aplica,1
