id,ano,dept,MUNINICIO_CASO,presuntoRes,desPresuntoRes,num
185353,2002,Bolívar,EL CARMEN DE Bolívar,Guerrilla,FARC,0
185354,2002,Cundinamarca,GRANADA,Guerrilla,FARC,0
185355,2002,Arauca,Arauca,Guerrilla,FARC,2
185356,2002,Atlántico,BARRANQUILLA,Guerrilla,FARC,0
185357,2002,Norte de Santander,C?CUTA,Guerrilla,ELN,0
185358,2002,Cundinamarca,CUCUNUB?,Guerrilla,ELN,0
185359,2002,Magdalena,SANTA MARTA,Guerrilla,FARC,2
185360,2002,Huila,NEIVA,Guerrilla,FARC,1
185361,2003,Arauca,FORTUL,Guerrilla,FARC,4
185362,2003,Antioquia,MEDELL?N,Guerrilla,FARC,5
185363,2003,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,FARC,0
185364,2003,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,36
185365,2003,Norte de Santander,C?CUTA,Guerrilla,ELN,13
185366,2003,Guaviare,CALAMAR,Grupo Armado No Identificado,No aplica,1
185367,2003,Huila,ISNOS,Guerrilla,FARC,1
185368,2003,Caquetá,EL PAUJ?L,Guerrilla,FARC,0
185369,2003,Caquetá,EL PAUJ?L,Guerrilla,FARC,1
185370,2003,Arauca,Arauca,Guerrilla,No Identificada,0
185371,2003,Boyacá,SOCHA,Guerrilla,FARC,0
185372,2003,Meta,SAN MART?N,Guerrilla,FARC,1
185373,2003,Meta,PUERTO RICO,Guerrilla,FARC,5
185374,2003,Boyacá,CHITA,Guerrilla,ELN,9
185375,2003,"Bogotá D.C.","Bogotá D.C.",Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
185376,2003,Arauca,SARAVENA,Guerrilla,FARC,0
185377,2003,Arauca,FORTUL,Guerrilla,No Identificada,1
185378,2003,Arauca,FORTUL,Guerrilla,FARC,2
185379,2003,Putumayo,VALLE DEL GUAMUEZ,Grupo Armado No Identificado,No aplica,2
185381,2003,Antioquia,YARUMAL,Guerrilla,FARC,7
185382,2003,Antioquia,YARUMAL,Desconocido,No aplica,5
185383,2003,Antioquia,ITUANGO,Guerrilla,FARC,0
185384,2003,Arauca,TAME,Guerrilla,FARC,1
185385,2003,Arauca,TAME,Grupo Armado No Identificado,No aplica,2
185386,2003,Atlántico,BARRANQUILLA,Guerrilla,No Identificada,1
185387,2004,"Bogotá D.C.","Bogotá D.C.",Grupo Paramilitar,No Identificado,0
185388,2004,Arauca,TAME,Guerrilla,FARC,2
185389,2004,Antioquia,SAN RAFAEL,Grupo Paramilitar,No Identificado,1
185390,2004,Antioquia,SAN CARLOS,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,3
185391,2004,Antioquia,APARTAD?,Guerrilla,FARC,7
185392,2005,Arauca,SARAVENA,Guerrilla,No Identificada,0
185393,2005,Arauca,Arauca,Guerrilla,No Identificada,1
185395,2005,Caquetá,FLORENCIA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
185396,2006,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,FARC,4
185397,2006,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,3
185398,2006,Valle del Cauca,CALI,Desconocido,No aplica,7
185399,2006,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,1
185400,2006,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,0
185401,2007,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,6
185402,2007,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,1
185403,2007,Huila,NEIVA,Guerrilla,FARC,0
185404,2007,Putumayo,PUERTO AS?S,Guerrilla,FARC,2
185405,2008,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,1
185406,2008,Antioquia,ITUANGO,Guerrilla,FARC,7
185407,2008,Antioquia,SAN RAFAEL,Guerrilla,FARC,1
185408,2008,Antioquia,SAN RAFAEL,Guerrilla,FARC,0
185409,2009,Nariño,ROBERTO PAY?N,Guerrilla,FARC,5
185410,2009,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,2
185411,2009,Valle del Cauca,CALI,Grupo Armado No Identificado,No aplica,2
185412,2009,Norte de Santander,CONVENCI?N,Guerrilla,ELN,9
185413,2009,Antioquia,APARTAD?,Grupo Armado No Identificado,No aplica,0
185414,2009,Nariño,SAMANIEGO,Guerrilla,ELN,0
185415,2010,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,9
185416,2010,Cauca,GUAP?,Grupo Armado No Identificado,No aplica,1
185417,2010,Antioquia,APARTAD?,Guerrilla,FARC,1
185418,2010,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,0
185419,2011,Norte de Santander,SAN CALIXTO,Guerrilla,FARC,3
185420,2011,Nariño,SANTA B?RBARA,Guerrilla,FARC,1
185421,2011,Cauca,POPAY?N,Guerrilla,ELN,1
185422,2011,Cauca,TORIB?O,Guerrilla,FARC,4
185423,2011,Valle del Cauca,FLORIDA,Guerrilla,FARC,0
185424,2011,La Guajira,MAICAO,Guerrilla,FARC,3
185425,2012,Norte de Santander,TIB?,Guerrilla,FARC,3
185426,2012,Nariño,SAN ANDR�S DE TUMACO,Guerrilla,FARC,0
