id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
185678,1989,Cauca,PAT?A,Desconocida,Grupo Paramilitar,No Identificado,0
185679,1989,Antioquia,SAN VICENTE FERRER,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185680,1989,Cesar,SAN ALBERTO,Ataque a Propiedad,Guerrilla,No Identificada,0
185681,1989,Córdoba,TIERRALTA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185682,1989,Casanare,YOPAL,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185683,1989,Sucre,EL ROBLE,Ataque a Propiedad,Guerrilla,FARC,0
185684,1989,Risaralda,QUINCH?A,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185685,1989,Casanare,SAN LUIS DE PALENQUE,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185686,1989,Cundinamarca,LA PE�A,Ataque a Propiedad,Desconocido,No aplica,0
185687,1989,Santander,SIMACOTA,Ataque a Propiedad,Guerrilla,No Identificada,0
185688,1990,Santander,BARRANCABERMEJA,Quema de Veh�culos,Guerrilla,FARC,0
185689,1990,Antioquia,PUERTO NARE,Quema de Veh�culos,Desconocido,No aplica,0
185690,1990,Antioquia,ARBOLETES,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185691,1990,Antioquia,EB�JICO,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185692,1990,Antioquia,TURBO,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185693,1990,Antioquia,FRONTINO,Ataque a Propiedad,Desconocido,No aplica,0
185694,1990,Antioquia,ARBOLETES,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185695,1990,Santander,BARRANCABERMEJA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185696,1990,Bolívar,MAGANGU�,Ataque a Propiedad,Desconocido,No aplica,0
185697,1990,Córdoba,SAN CARLOS,Ataque a Propiedad,Grupo Paramilitar,Los Tangueros,0
185698,1990,Córdoba,TIERRALTA,Ataque a Propiedad,Desconocido,No aplica,0
185699,1990,Antioquia,TURBO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185700,1990,Córdoba,VALENCIA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185701,1990,Córdoba,TIERRALTA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185702,1990,Cundinamarca,LA PALMA,Ataque a Propiedad,Guerrilla,FARC,0
185703,1990,Antioquia,CONCORDIA,Ataque a Propiedad,Desconocido,No aplica,0
185704,1990,Córdoba,SAN PELAYO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185705,1990,Cesar,VALLEDUPAR,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185706,1990,Córdoba,TIERRALTA,Ataque a Propiedad,Desconocido,No aplica,0
185708,1991,Cesar,SAN DIEGO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185709,1991,Antioquia,ARBOLETES,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185710,1991,Chocó,SAN JOS� DEL PALMAR,Ataque a Propiedad,Guerrilla,No Identificada,0
185711,1991,Magdalena,ZONA BANANERA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185712,1991,Antioquia,SAN PEDRO DE LOS MILAGROS,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185713,1991,Antioquia,PUERTO NARE,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185714,1991,Córdoba,PUERTO LIBERTADOR,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185715,1991,Antioquia,SANTA ROSA DE OSOS,Quema de Veh�culos,Grupo Armado No Identificado,No aplica,0
185717,1991,Antioquia,CA�ASGORDAS,Ataque a Propiedad,Guerrilla,No Identificada,0
185718,1991,Magdalena,SANTA MARTA,Ataque a Propiedad,Grupo Paramilitar,Autodefensas de Hern�n Giraldo,0
185719,1991,Meta,SAN MART?N,Desconocida,Desconocido,No aplica,0
185720,1991,Meta,SAN MART?N,Quema de Veh�culos,Grupo Paramilitar,No Identificado,0
185721,1991,Antioquia,TURBO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185722,1991,Cesar,VALLEDUPAR,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185723,1991,Antioquia,SAN PEDRO DE URAB?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185724,1991,Antioquia,TURBO,Ataque a Propiedad,Desconocido,No aplica,0
185725,1991,La Guajira,SAN JUAN DEL Cesar,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185726,1991,Antioquia,CARACOL?,Ataque a Propiedad,Guerrilla,ELN,0
185727,1992,Santander,BUCARAMANGA,Quema de Veh�culos,Desconocido,No aplica,0
185728,1992,La Guajira,FONSECA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185729,1992,Antioquia,GUADALUPE,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185730,1992,Magdalena,ARACATACA,Quema de Veh�culos,Grupo Paramilitar,No Identificado,0
185731,1992,Magdalena,ARACATACA,Quema de Veh�culos,Grupo Armado No Identificado,No aplica,0
185732,1992,Antioquia,TURBO,Quema de Veh�culos,Guerrilla,No Identificada,0
185733,1992,Magdalena,SANTA MARTA,Ataque a Propiedad,Guerrilla,No Identificada,0
185734,1992,Antioquia,CAREPA,Quema de Veh�culos,Grupo Paramilitar,No Identificado,0
185735,1992,Córdoba,VALENCIA,Ataque a Propiedad,Desconocido,No aplica,0
185736,1992,Antioquia,CaucaSIA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
