id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
34740,1991,Cundinamarca,PASCA,Guerrilla,FARC,0
34741,1991,Boyacá,CHITA,Guerrilla,FARC,4
34742,1992,Chocó,JURAD?,Guerrilla,FARC,1
34743,1992,Antioquia,YAL?,Guerrilla,FARC,1
34744,1992,Boyacá,EL COCUY,Guerrilla,ELN,2
34745,1992,Cauca,PADILLA,Guerrilla,FARC,0
34746,1992,Cesar,CHIRIGUAN?,Guerrilla,ELN,0
34747,1992,Nariño,EL CHARCO,Guerrilla,FARC,2
34748,1992,Antioquia,ARBOLETES,Guerrilla,FARC,4
34749,1992,Valle del Cauca,GINEBRA,Guerrilla,FARC,0
34750,1992,Nariño,SAN PABLO,Guerrilla,FARC,5
34751,1993,Boyacá,TASCO,Guerrilla,Coordinadora Guerrillera Sim�n Bol�var,0
34752,1993,Cauca,CALDONO,Guerrilla,FARC,1
34753,1993,Nariño,SAMANIEGO,Guerrilla,FARC,0
34754,1993,Antioquia,AMALFI,Guerrilla,ELN,7
34755,1993,Santander,CARCAS?,Guerrilla,ELN,1
34756,1994,Santander,FLORI?N,Guerrilla,FARC,2
34757,1994,Norte de Santander,CUCUTILLA,Guerrilla,FARC,2
34758,1994,Boyacá,TASCO,Guerrilla,FARC,1
34760,1994,Antioquia,GIRALDO,Guerrilla,FARC,0
34761,1994,Cundinamarca,GACHAL?,Guerrilla,FARC,2
34762,1994,Antioquia,PEQUE,Guerrilla,FARC,0
34763,1994,Casanare,PORE,Guerrilla,FARC,1
34764,1994,Cundinamarca,PASCA,Guerrilla,FARC,3
34765,1994,Cundinamarca,LA CALERA,Guerrilla,FARC,2
34766,1994,Cauca,PIENDAM?,Guerrilla,FARC,4
34769,1994,Cundinamarca,TIBACUY,Guerrilla,FARC,2
34770,1995,Antioquia,CAICEDO,Guerrilla,FARC,2
34771,1995,Tolima,RIOBLANCO,Guerrilla,FARC,5
34772,1995,Antioquia,PEQUE,Guerrilla,FARC,0
34773,1995,Casanare,T?MARA,Guerrilla,FARC,2
34774,1995,Antioquia,ITUANGO,Guerrilla,FARC,18
34775,1995,Antioquia,ITUANGO,Guerrilla,FARC,14
34776,1995,Cundinamarca,FOSCA,Guerrilla,FARC,0
34777,1995,Guaviare,MIRAFLORES,Guerrilla,FARC,27
34778,1995,Boyacá,MONGUA,Guerrilla,FARC,0
34779,1995,Boyacá,MONGUA,Guerrilla,FARC,0
34781,1995,Sucre,CHAL?N,Guerrilla,FARC,0
34782,1995,Cauca,MIRANDA,Guerrilla,"Disidencia M-19 ""Jaime Bateman Cay�n""",3
34783,1996,Tolima,DOLORES,Guerrilla,FARC,4
34784,1996,Nariño,SANTA B?RBARA,Guerrilla,FARC,0
34785,1996,Valle del Cauca,FLORIDA,Guerrilla,FARC,1
34786,1996,Córdoba,TIERRALTA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,3
34787,1996,Casanare,SAN LUIS DE PALENQUE,Guerrilla,FARC,3
34788,1996,Cundinamarca,QUETAME,Guerrilla,FARC,2
34789,1996,Tolima,SAN LUIS,Guerrilla,FARC,0
34790,1996,Meta,GUAMAL,Guerrilla,FARC,0
34791,1996,Antioquia,BETANIA,Guerrilla,ELN,0
34792,1996,Antioquia,PEQUE,Guerrilla,FARC,0
34793,1996,Santander,CAPITANEJO,Guerrilla,FARC,3
